Id,Sales
1,4568.839
2,7152.658
3,9320.68
4,7845.3936
5,7381.5874
6,5668.778
7,7502.036
8,8069.553
9,5195.245
10,5633.4023
11,6960.3184
12,8415.788
13,7035.336
14,9589.734
15,6139.5195
16,4965.6274
17,5889.8364
18,9813.45
19,11049.648
20,9411.86
21,8021.3687
22,4546.7446
23,5888.5166
24,4499.005
25,7830.78
26,11388.004
27,9532.227
28,6064.7637
29,4934.9316
30,4198.5317
31,6004.5596
32,10008.751
33,6714.42
34,5336.325
35,5753.031
36,7326.162
37,3630.8074
38,8034.2534
39,4619.196
40,6896.747
41,6900.24
42,5591.088
43,8277.904
44,7253.4854
45,5192.659
46,6558.5615
47,7462.2344
48,12105.312
49,6373.11
50,8413.46
51,6896.379
52,8918.272
53,6726.5967
54,9102.249
55,4893.0596
56,5133.28
57,5790.273
58,5855.7837
59,9032.948
60,7511.035
61,5756.763
62,8207.057
63,6915.2812
64,10048.239
65,3786.1147
66,12843.623
67,4631.202
68,6441.688
69,7942.6963
70,4689.8975
71,6706.625
72,6089.656
73,7700.007
74,5753.0425
75,5803.4077
76,7886.284
77,7789.4272
78,6793.7744
79,5581.578
80,7236.2954
81,12302.288
82,6479.178
83,4504.0537
84,6950.223
85,5769.6743
86,5543.3735
87,7780.867
88,3829.3162
89,8395.179
90,6115.0586
91,7428.5356
92,7374.1787
93,4200.879
94,5718.5864
95,5422.7544
96,8372.463
97,8476.836
98,5173.762
99,4909.2227
100,7516.9395
101,5970.2485
102,5614.3735
103,7706.171
104,6868.0317
105,7075.6
106,5859.5996
107,4433.819
108,6805.298
109,7768.9443
110,7842.386
111,8226.452
112,8164.4097
113,5933.7104
114,9392.171
115,5497.529
116,7009.071
117,9445.066
118,6901.0107
119,9962.858
120,7811.931
121,8076.329
122,5857.5376
123,7020.1694
124,8135.4346
125,6765.3394
126,3924.1282
127,5310.52
128,8328.893
129,6017.716
130,4319.3164
131,8370.141
132,6713.4463
133,6163.5957
134,5919.53
135,5201.427
136,7325.003
137,7370.8394
138,6894.0386
139,5810.496
140,5350.6855
141,6464.434
142,4121.21
143,6090.6665
144,5541.074
145,8533.925
146,7878.932
147,6402.088
148,11640.031
149,4869.1514
150,5365.049
151,10286.703
152,7006.2974
153,8736.908
154,7072.7866
155,5577.47
156,6422.9424
157,5702.5913
158,8250.132
159,11194.185
160,6455.8584
161,3471.3206
162,4658.0757
163,8827.058
164,8816.348
165,6389.1636
166,6677.6753
167,4916.025
168,5279.993
169,3150.7898
170,4733.5874
171,6339.769
172,7813.153
173,6328.075
174,6263.495
175,8041.053
176,9232.275
177,7717.2163
178,5122.2954
179,9012.244
180,11087.83
181,5857.465
182,7352.143
183,5664.768
184,6408.337
185,4281.4956
186,7026.096
187,5304.446
188,8703.304
189,7203.6304
190,8093.8936
191,7625.7744
192,5539.996
193,9121.81
194,18750.666
195,10741.806
196,5498.0
197,3457.9092
198,6346.8774
199,7972.6577
200,5950.2007
201,13228.672
202,20189.617
203,4257.054
204,5135.228
205,9823.9
206,4577.5527
207,8045.6396
208,6629.2173
209,7908.3286
210,4665.825
211,6883.2773
212,6106.9287
213,7094.1406
214,9920.62
215,6460.329
216,6002.8423
217,7633.996
218,5386.0166
219,4779.4336
220,8055.121
221,6176.759
222,5989.7695
223,6952.1255
224,6121.2783
225,5487.6597
226,6795.336
227,7214.9614
228,8647.11
229,6927.974
230,7270.9937
231,5624.2393
232,3889.074
233,6153.752
234,6464.3477
235,6292.551
236,4719.5776
237,8478.429
238,7208.1523
239,9971.328
240,6745.5547
241,6053.3457
242,5225.327
243,4522.29
244,10565.098
245,5183.3037
246,7612.5786
247,15489.516
248,7522.124
249,8010.4976
250,6166.5293
251,4428.3086
252,7263.031
253,3995.736
254,5462.6123
255,10891.088
256,5416.5566
257,15728.955
258,13499.894
259,5019.807
260,6847.581
261,5438.3115
262,6787.6157
263,5516.2617
264,11108.564
265,8027.1543
266,9732.97
267,4696.123
268,7407.313
269,5288.268
270,9251.576
271,7122.7007
272,6103.4995
273,6691.733
274,6602.875
275,8430.432
276,9385.723
277,6418.282
278,10013.772
279,6748.173
280,9424.776
281,5698.6987
282,5402.896
283,5644.4756
284,10152.655
285,6401.5205
286,7694.2007
287,6835.719
288,8837.771
289,4719.7485
290,8436.946
291,6895.169
292,4205.4204
293,13239.689
294,17058.889
295,7317.0083
296,7375.8945
297,9100.581
298,10435.263
299,11776.106
300,5488.251
301,7278.813
302,5875.329
303,8657.54
304,3996.3494
305,5731.821
306,5788.5615
307,5874.623
308,7597.5796
309,5519.614
310,4879.7363
311,7361.243
312,4248.6875
313,4800.612
314,5933.218
315,6275.6743
316,9697.354
317,8820.939
318,7244.8296
319,6642.9443
320,6476.109
321,11721.765
322,7080.4937
323,5335.125
324,4995.3228
325,8884.012
326,4367.465
327,6862.375
328,3320.0134
329,5016.476
330,7809.607
331,6915.5312
332,5263.869
333,8885.08
334,10141.904
335,12539.546
336,5940.7197
337,9773.653
338,3049.8804
339,5267.4854
340,6733.3486
341,4697.368
342,7251.155
343,4802.173
344,5215.8325
345,8584.482
346,10637.721
347,10527.673
348,5247.039
349,5150.3687
350,8658.944
351,7517.377
352,5856.0576
353,5735.8125
354,7045.0312
355,9717.675
356,4757.265
357,6340.7373
358,8180.988
359,7816.619
360,12825.41
361,5805.589
362,11748.791
363,6946.4194
364,5265.6714
365,3646.7773
366,6123.153
367,6569.334
368,5924.9683
369,7309.246
370,5240.878
371,4602.438
372,7447.2476
373,3430.4724
374,7882.4424
375,7403.7114
376,7914.954
377,8646.838
378,5733.4287
379,8122.155
380,6685.0474
381,5662.699
382,5921.313
383,5140.922
384,9656.222
385,6261.034
386,5030.3164
387,7117.241
388,8593.518
389,7158.8687
390,6011.671
391,8174.866
392,5240.143
393,6450.0547
394,6257.9717
395,8794.674
396,6176.5703
397,6154.6377
398,6146.3564
399,5225.5312
400,3869.9202
401,5773.9395
402,8775.287
403,8851.057
404,10564.092
405,11149.171
406,8142.133
407,5415.173
408,5133.7593
409,11131.153
410,11168.891
411,7854.0933
412,8223.384
413,7771.7754
414,6219.792
415,4131.5244
416,11227.745
417,7156.998
418,6642.044
419,6428.7573
420,3334.0952
421,11358.762
422,6335.587
423,5435.258
424,4728.439
425,5724.3423
426,6485.714
427,7845.8506
428,7231.487
429,5361.98
430,5443.8174
431,3802.5469
432,3329.3894
433,7113.9907
434,17992.95
435,4442.5547
436,5926.4604
437,6603.0015
438,5695.6616
439,5469.248
440,5121.934
441,3880.0642
442,7946.3486
443,7322.838
444,4115.6797
445,9442.248
446,5809.25
447,4812.2407
448,9450.526
449,7906.1196
450,9031.785
451,5519.04
452,6124.029
453,5019.6396
454,5059.463
455,14318.413
456,9984.63
457,6384.735
458,5439.5933
459,5252.2603
460,5979.49
461,4927.154
462,10955.33
463,5068.8994
464,5666.297
465,7340.163
466,4924.838
467,6248.3228
468,7557.4653
469,7396.04
470,7561.3877
471,4177.488
472,5736.683
473,6893.3545
474,9170.743
475,8223.087
476,7419.1045
477,4747.833
478,8269.533
479,5956.0933
480,4515.5845
481,6849.939
482,7010.8096
483,6676.5674
484,6298.651
485,5777.911
486,6796.328
487,5650.567
488,7319.305
489,6651.4644
490,6669.758
491,9396.345
492,6156.581
493,4545.05
494,12122.179
495,5889.005
496,3394.3079
497,7715.561
498,8858.936
499,10455.154
500,5229.425
501,5975.751
502,6257.644
503,7047.907
504,5922.6523
505,8805.173
506,3366.5542
507,5575.5293
508,6064.92
509,5615.171
510,5695.021
511,7015.5845
512,8691.441
513,5993.661
514,8223.07
515,7723.3135
516,8719.486
517,4895.3936
518,6742.628
519,6777.803
520,8474.443
521,7465.95
522,5008.1255
523,8743.151
524,7468.3145
525,7685.5693
526,4633.3804
527,4094.9924
528,8311.841
529,5961.9927
530,9147.631
531,6986.3013
532,5616.462
533,8619.241
534,6489.735
535,7072.3823
536,8539.085
537,6050.754
538,9336.239
539,11218.787
540,7145.0835
541,4723.977
542,6119.8716
543,4383.087
544,0.0
545,8114.1494
546,5893.224
547,7938.6978
548,4832.089
549,6278.4814
550,6361.9736
551,8477.523
552,5590.0054
553,5633.5156
554,5775.9224
555,6780.6733
556,5273.728
557,7292.849
558,7832.498
559,7675.6587
560,7961.353
561,6898.872
562,6086.3926
563,4620.8438
564,5387.193
565,10764.418
566,8988.323
567,6834.9043
568,15291.199
569,5599.0864
570,5149.9556
571,6056.6772
572,8682.139
573,10531.63
574,7423.606
575,8324.501
576,8115.744
577,7960.73
578,6911.8916
579,5886.1636
580,4728.8906
581,5265.3354
582,3889.6155
583,5267.053
584,8703.328
585,15909.932
586,7080.102
587,5016.424
588,6995.0747
589,4697.319
590,6110.2905
591,4367.5024
592,9505.482
593,6964.9395
594,6000.364
595,13498.322
596,11993.754
597,5476.801
598,7302.543
599,4121.261
600,5235.7573
601,5437.855
602,8306.959
603,5038.666
604,4731.353
605,5909.8213
606,5840.0234
607,6830.8574
608,7464.8755
609,3676.3643
610,7139.2197
611,8424.878
612,7645.508
613,5058.9365
614,4648.965
615,8157.794
616,5154.5747
617,9462.052
618,4808.195
619,5566.768
620,7252.974
621,5798.805
622,4921.912
623,6156.3057
624,7225.1724
625,8598.634
626,9629.388
627,6018.887
628,3853.8074
629,5851.5024
630,6307.5894
631,4694.744
632,6589.7646
633,6329.704
634,11482.172
635,7849.114
636,6459.67
637,7496.186
638,5115.554
639,8794.062
640,5632.0435
641,13220.6
642,6583.986
643,5573.222
644,5131.605
645,4350.3833
646,6721.794
647,19305.365
648,4296.2324
649,4912.9272
650,9763.443
651,6160.616
652,7441.085
653,8443.49
654,6251.113
655,5164.332
656,4720.055
657,9859.304
